first;FFFcities;date
30/11/2018;4;2018-11-30
15/02/2019;29;2019-02-15
15/03/2019;208;2019-03-15
03/05/2019;25;2019-05-03
24/05/2019;295;2019-05-24
21/06/2019;31;2019-06-21
20/09/2019;574;2019-09-20
29/11/2019;494;2019-11-29
06/12/2019;46;2019-12-06
13/12/2019;65;2019-12-13
10/01/2020;46;2020-01-10
17/01/2020;46;2020-01-17
24/01/2020;47;2020-01-24
31/01/2020;46;2020-01-31
07/02/2020;47;2020-02-07
14/02/2020;47;2020-02-14
13/03/2020;48;2020-03-13
10/04/2020;46;2020-04-10
17/04/2020;47;2020-04-17
24/04/2020;51;2020-04-24
01/05/2020;46;2020-05-01
